Sample,Species,Sequencing.Method,Reference,uniq_aligned_reads,ambig_reads,discarded_reads,no_alignments,percent_aligned,total_reads,uniq_aligned_reads_no_discard,dedup_reads,dedup_reads_percent,dup_reads,dup_reads_percent,meth_chg,meth_chh,meth_cpg,percent_chg_meth,percent_chh_meth,percent_cpg_meth,total_c,unmeth_chg,unmeth_chh,unmeth_cpg
Meth1,P. acuta,WGBS ,C1,1179945,345489,582,72899261,1.58542134435351,74424695,1179363,570159,48.34,609204,51.66,168370,1782212,2856512,3.5,9.3,79.6,27552872,4676917,17334740,734121
Meth2,P. acuta,WGBS ,C1,1849052,604122,777,82506044,2.17639950499544,84959218,1848275,1002712,54.25,845563,45.75,137112,1738688,2248932,3.7,11.6,84.5,21313791,3522874,13254426,411759
Meth3,P. acuta,WGBS ,C1,1554069,376531,766,75741673,2.00080278325317,77672273,1553303,821827,52.91,731476,47.09,120898,1390452,2125902,3.5,10.1,82.9,19770644,3352209,12341954,439229
Meth4,P. acuta,RRBS ,C1,6946116,3820419,1086,139062254,4.63603560194296,149828789,NA,NA,NA,NA,NA,516412,13987769,4578625,4.3,22.4,28.6,90522097,11529730,48494528,11415033
Meth5,P. acuta,RRBS ,C1,14471167,7598680,2494,262046523,5.09339430177853,284116370,NA,NA,NA,NA,NA,1088452,28642349,12730369,3.9,21,38.7,197309115,26937505,107775468,20134972
Meth6,P. acuta,RRBS ,C1,7560927,3872373,1286,128948805,5.38596212102675,140382105,NA,NA,NA,NA,NA,570832,14093683,6984285,3.7,19.6,36.4,106572438,14800569,57921330,12201739
Meth7,P. acuta,MBD enrichment followed by WGBS ,C1,17663814,2173424,7519,75700087,18.4889141495222,95537325,17656295,8194473,46.41,9461822,53.59,1301211,5025676,30171391,2.9,3.4,92.5,222906237,42925013,141020861,2462085
Meth8,P. acuta,MBD enrichment followed by WGBS ,C1,30506806,3722798,12473,50944696,35.8169142570001,85174300,30494333,14663030,48.08,15831303,51.92,2542915,8183367,59544781,3,3,92.9,416257728,81124482,260344234,4517949
Meth9,P. acuta,MBD enrichment followed by WGBS ,C1,14326340,1818073,5993,70889298,16.460679241863,87033711,14320347,6540717,45.67,7779630,54.33,1051315,4255352,22908527,3.1,3.7,92.1,173811616,33165914,110460132,1970376
