	Mcap.protein	Pocillopora_acuta_protein
Number of genes	63227	64554
Number of genes in orthogroups	21657	21061
Number of unassigned genes	41570	43493
Percentage of genes in orthogroups	34.3	32.6
Percentage of unassigned genes	65.7	67.4
Number of orthogroups containing species	15020	14987
Percentage of orthogroups containing species	99.3	99.1
Number of species-specific orthogroups	142	109
Number of genes in species-specific orthogroups	846	682
Percentage of genes in species-specific orthogroups	1.3	1.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	109	142
'1	11599	13095
'2	2448	1000
'3	352	325
'4	204	154
'5	134	90
'6	89	70
'7	41	36
'8	27	38
'9	29	20
'10	18	19
11-15	57	65
16-20	14	30
21-50	8	45
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.7	0.9
'1	76.7	86.6
'2	16.2	6.6
'3	2.3	2.1
'4	1.3	1.0
'5	0.9	0.6
'6	0.6	0.5
'7	0.3	0.2
'8	0.2	0.3
'9	0.2	0.1
'10	0.1	0.1
11-15	0.4	0.4
16-20	0.1	0.2
21-50	0.1	0.3
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	11599	13095
'2	4896	2000
'3	1056	975
'4	816	616
'5	670	450
'6	534	420
'7	287	252
'8	216	304
'9	261	180
'10	180	190
11-15	707	809
16-20	254	528
21-50	181	1242
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	18.3	20.3
'2	7.7	3.1
'3	1.7	1.5
'4	1.3	1.0
'5	1.1	0.7
'6	0.8	0.7
'7	0.5	0.4
'8	0.3	0.5
'9	0.4	0.3
'10	0.3	0.3
11-15	1.1	1.3
16-20	0.4	0.8
21-50	0.3	1.9
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
